corridor,facility,period,tmc_code,network_link_id,road_order,accepted_episode_days,alpha,beta,parameter_reliability,mean_dc,mu_ln_dc,sigma_ln_dc,mean_log_delay_residual,within_tmc_sigma_log_delay_residual,loto_residual_mean,loto_within_tmc_residual_sigma,demand_log_variance,unexplained_log_variance,demand_explained_share_assuming_independence,unexplained_share_assuming_independence,observed_mean_tti,raw_qvdf_mean_tti,residual_variance_only_mean_tti_loto,residual_bias_and_variance_mean_tti_loto,observed_pti95,raw_qvdf_pti95,residual_variance_only_pti95_loto,residual_bias_and_variance_pti95_loto,raw_pti95_error,residual_variance_only_pti95_error,residual_bias_and_variance_pti95_error,variance_share_note
I-95 SB,GP,PM 15:00-19:00,110N04158,31907,850.001,16,1.3374541104839113,1.7473796327985045,high,0.7004004284671573,-0.3993231135766853,0.3047308891698949,0.3189146198149843,0.4206771001219882,0.6759683587882572,0.3697684917574013,0.283535535297689,0.13672873749654335,0.6746600975917652,0.3253399024082349,2.114167742979011,1.7670268907051998,1.7670268907051998,2.614619473675422,3.2084000183654995,2.598157457151503,2.8057152021811076,4.801096108472593,-0.6102425612139966,-0.4026848161843919,1.5926960901070935,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110N04157,31912,852.0,14,0.6481586453795056,0.4018514282308939,high,0.9199809122724284,-0.10528027309602804,0.22507137580367076,0.5695284948843985,0.25248053011525745,0.6404834703099518,0.3883828775483111,0.00818034393867228,0.1508412595727064,0.0514417145723659,0.9485582854276341,2.14766714555889,1.6238554141111052,1.6238554141111055,2.276430428536173,2.7390546917770253,1.7209700992350172,2.1102433992685388,3.2715975943352347,-1.0180845925420081,-0.6288112925084866,0.5325429025582094,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110-04156,32831,853.0,9,0.4974745004559507,2.2574301875102205,medium,0.7427342406283786,-0.34181886030367137,0.33028769721397977,0.9011552893202889,0.48403537578930794,0.613552695898252,0.36768275583606497,0.5559214749024856,0.13519060893920337,0.8043868540284834,0.1956131459715167,1.6264756605324342,1.303649119755737,1.303649119755737,1.6000547036615265,2.104843509826902,1.7839280812832938,1.8436480752951858,2.6671709643785513,-0.320915428543608,-0.261195434531716,0.5623274545516495,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110N04156,32265,854.0,9,0.5139767553769299,1.5101318490350717,medium,0.8000954588303322,-0.2474916541117406,0.23928389015537954,0.6539107952220332,0.2454722601831424,0.6314978607924802,0.38379329744670804,0.13057398401240528,0.1472972951650173,0.4699081689872415,0.5300918310127584,1.7075751376459236,1.3775564161176024,1.3775564161176024,1.7642282587695188,2.0607241935854432,1.6408537282893991,1.7819917854316363,2.5828633683352322,-0.4198704652960441,-0.27873240815380695,0.522139174749789,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110-04154,31922,857.0,17,0.9076913874084394,0.7490343073401137,high,1.0548859783710578,0.039137734705863805,0.1737551244451707,0.6493814317836258,0.3127289347052029,0.6306159271977948,0.3849560213078205,0.016938644881142002,0.14819113834114714,0.10257776974333019,0.8974222302566699,2.8861072460102326,1.942644541802604,1.9426445418026042,2.9072177123703726,3.724712479571896,2.157821218981858,2.6934612576360046,4.426317304718172,-1.566891260590038,-1.0312512219358916,0.7016048251462754,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110N04154,31926,858.0,19,1.1179706428543428,0.9136277352962864,high,1.182647075639311,0.14316533317612354,0.2199465233525937,0.6425822398876542,0.27546151217938164,0.6314199064684248,0.39103548960449236,0.04038059867097245,0.15290875413022506,0.2089126901495956,0.7910873098504043,3.544777791553627,2.3001832735942447,2.3001832735942447,3.638945796106331,5.153016423122014,2.7733085299859064,3.432732895540334,5.937650236022973,-2.3797078931361075,-1.72028352758168,0.7846338129009593,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110-04153,31931,859.0,18,1.2559874995691738,0.9792647236285412,high,1.2170492133742765,0.17106140838936218,0.22278774016067548,0.7249911245915456,0.4381167408000499,0.618618188283635,0.36546888018222656,0.04759735249393631,0.1335675023816507,0.26272950416692725,0.7372704958330727,4.3150535760883235,2.520797996026385,2.520797996026385,4.018129093515421,4.888673974174045,3.1261040743150943,3.7975931663173315,6.552017657271934,-1.762569899858951,-1.0910808078567138,1.6633436830978887,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110N04152,39077,862.0,10,1.3720282505263373,0.128772030419787,high,2.007336623455166,0.6840798489615149,0.17382021827494007,0.9625588765632411,0.030523868689412082,0.6062223018669386,0.3908252248711248,0.0005010068559307853,0.15274435639556527,0.0032693116796530166,0.996730688320347,4.925018883942602,2.498749321130486,2.498749321130486,3.966033251274815,5.089248597862849,2.5545677454499307,3.642993044812995,6.230497951378824,-2.5346808524129187,-1.4462555530498546,1.141249353515975,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110N04149,38973,868.0,7,1.1452974152429738,1.387334158311515,medium,0.6777114503652353,-0.40298352054193687,0.18302737473643418,0.22674432169457565,0.48371312679182227,0.6555850924079668,0.3700008276030018,0.06447543184938823,0.13690061242690627,0.32017428925620284,0.6798257107437972,1.9279230968827572,1.676264685633036,1.6762646856330359,2.394958500160927,2.576625533033507,1.994269478673118,2.2792428256302006,3.6387458805605237,-0.582356054360389,-0.2973827074033064,1.0621203475270167,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
I-95 SB,GP,PM 15:00-19:00,110-04147,39009,871.0,14,0.3982570780043588,0.6110600280664913,high,0.7824883674886698,-0.326286470208843,0.41281542212948563,0.6862941521881643,0.5530106266349059,0.6267463341565676,0.3496176118523526,0.06363258675684358,0.1222324745173423,0.3423590551156549,0.6576409448843451,1.7782706274053497,1.336814857507186,1.336814857507186,1.6700792349747824,2.628847320129301,1.4940514487679029,1.6237385672575493,2.2409020940036415,-1.134795871361398,-1.0051087528717515,-0.3879452261256593,shares use beta^2 Var[ln(D/C)] and leave-one-TMC-out within-link residual variance; independence assumed
