tmc_code,date_local,demand_capacity_ratio,P_hr,length_mi,freeflow_speed_mph,network_link_id,road_order,source_5min_bins,mean_pm_travel_time_min,mean_pm_speed_mph,complete_pm_window,alpha,beta,f_d,n,reliability,calibration_scope,n_episodes,duration_r2,speed_r2,free_flow_travel_time_min,observed_daily_pm_tti,analysis_eligible,analysis_scope,demand_capacity_basis,log_dc,observed_delay_tti,log_observed_delay,log_qvdf_delay,qvdf_daily_tti,log_delay_residual,log_observed_delay_within_tmc,log_qvdf_delay_within_tmc,log_delay_residual_within_tmc,residual_interpretation
110-04147,2025-10-01,0.5926130126603316,3.0,1.971115,70.26,39009,871.0,48,5.925625,30.045833333333334,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,3.520295302404985,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.5232136854939312,2.520295302404985,0.9243760781519244,-1.2403725269258552,1.2892764346032948,2.1647486050777793,1.3581201031904535,-0.12033434969916179,1.4784544528896153,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-06,1.002739524624523,4.5,1.971115,70.26,39009,871.0,48,3.3018750000000003,40.96333333333333,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.961577901340105,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.002735778966261374,0.9615779013401049,-0.03917969660076249,-0.918985832411254,1.3989234111943507,0.8798061358104915,0.3945643284377668,0.20105234481543943,0.19351198362232735,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-07,0.6055526454364664,2.5,1.971115,70.26,39009,871.0,48,2.3139583333333333,53.83979166666666,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.3746763676058138,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.5016137743738623,0.3746763676058138,-0.9816926453454715,-1.2271736846305923,1.293119857211252,0.24548103928512077,-0.5479486203069422,-0.10713550740389888,-0.44081311290304337,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-09,0.4898045011031254,2.0,1.971115,70.26,39009,871.0,48,2.2622916666666666,55.425,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.3439822342515109,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.7137489448306608,0.34398223425151087,-1.067165267560069,-1.3568010078438135,1.2574831474428894,0.2896357402837446,-0.6334212425215396,-0.2367628306171201,-0.39665841190441953,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-10,1.6936071884431307,7.25,1.971115,70.26,39009,871.0,48,2.4379166666666667,53.27,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.4483175343227903,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.5268606853046705,0.4483175343227903,-0.802253515663951,-0.5987140524337586,1.5495178330505976,-0.20353946323019234,-0.3685094906254217,0.5213241247929348,-0.8898336154183565,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-14,0.916443784132546,4.0,1.971115,70.26,39009,871.0,48,3.093958333333333,43.0,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.838058767922386,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.08725455113674327,0.8380587679223861,-0.17666705217329876,-0.9739753260497088,1.3775790508275743,0.7973082738764101,0.2570769728652305,0.1460628511769846,0.11101412168824598,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-20,0.6726449103930429,3.0,1.971115,70.26,39009,871.0,48,3.06125,44.51333333333333,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.818627401242444,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.3965377105802997,0.8186274012424439,-0.20012624218519628,-1.1629659021397816,1.3125577889882423,0.9628396599545853,0.23361778285333298,-0.04292772491308816,0.2765455077664212,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-22,0.479689367902772,2.0,1.971115,70.26,39009,871.0,48,2.2375000000000003,54.982708333333335,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.3292540009081155,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.7346165347748379,0.3292540009081155,-1.11092578685136,-1.3695523579407824,1.2542207339786453,0.25862657108942244,-0.6771817618128307,-0.24951418071408904,-0.4276675810987417,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-23,0.879935350005126,4.0,1.971115,70.26,39009,871.0,48,3.114791666666666,44.845416666666665,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.850435434597508,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.12790684011190243,0.850435434597508,-0.1620067846692608,-0.9988163148918366,1.3683151524091348,0.8368095302225759,0.2717372403692685,0.12122186233485677,0.15051537803441173,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04147,2025-10-24,0.5904138113891994,2.5,1.971115,70.26,39009,871.0,48,2.6822916666666665,49.21666666666667,True,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.6832749786507255,1.5934958344219727,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.5269316126951036,0.5934958344219727,-0.5217250836226346,-1.242644403625753,1.288619980185791,0.7209193200031183,-0.08798105858410532,-0.12260622639905949,0.03462516781495417,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
