corridor_period,tmc_code,minute,mean_tt,p95_tt,days,start_latitude,length_mi,distance_end_mi,distance_start_mi,t0_min,tti,pti95,gamma95
I-95 NB AM,110+04147,300,1.5508695652173914,1.589,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0170803634629493,1.0420867968455396,1.0245864872441828
I-95 NB AM,110+04147,305,1.561304347826087,1.6249999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0239236291548783,1.0656960634826946,1.0407964355332775
I-95 NB AM,110+04147,310,1.5817391304347828,1.6929999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0373250244682393,1.1102913449084322,1.0703408466190212
I-95 NB AM,110+04147,315,1.5882608695652174,1.656,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0416020655256948,1.086026265309134,1.042649876813578
I-95 NB AM,110+04147,320,1.5821739130434782,1.629,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0376101605387362,1.0683193153312676,1.0295960428689201
I-95 NB AM,110+04147,325,1.5939130434782611,1.629,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0453088344421564,1.0683193153312676,1.022013093289689
I-95 NB AM,110+04147,330,1.586521739130435,1.648,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0404615212437067,1.0807797616119883,1.0387503425596052
I-95 NB AM,110+04147,335,1.587826086956522,1.63,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0413169294551978,1.0689751282934108,1.0265607886089811
I-95 NB AM,110+04147,340,1.5795652173913042,1.6389999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0358993441157538,1.0748774449526994,1.037627305257363
I-95 NB AM,110+04147,345,1.588695652173913,1.682,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0418872015961917,1.103077402324857,1.0587301587301587
