pair,period,facility,corridor,tmc_code,network_link_id,AMLIMIT,PMLIMIT,identification_miles,miles,s_mid
I-395 SB PM,PM,GP,I395_SB,110-04126,26796,0,0,0.481819,0.48176083333333336,-1.8574709125515128
I-395 SB PM,PM,GP,I395_SB,110N04126,26788,0,0,0.626954,0.6270716666666666,-1.3419127830073438
I-395 SB PM,PM,GP,I395_SB,110-04125,26781,0,0,0.075065,0.07441,-1.0111061783466009
I-395 SB PM,PM,GP,I395_SB,110N04125,26776,0,0,0.539375,0.53973,-0.7113407501251573
I-395 SB PM,PM,GP,I395_SB,110-04124,26764,0,0,0.223822,0.20122666666666666,-0.33707855986600066
I-395 SB PM,PM,GP,I395_SB,110N04124,28312,0,0,0.59288,0.6151166666666668,0.05463859588184916
I-395 SB PM,PM,GP,I395_SB,110-04123,28307,0,0,0.122184,0.12202666666666667,0.3939778598146447
I-395 SB PM,PM,GP,I395_SB,110N04123,28302,0,0,0.76605,0.7853333333333333,0.8251190437580509
I-395 SB PM,PM,GP,I395_SB,110-04122,28289,0,0,0.922212,0.9030233333333334,1.6571913146752748
I-395 SB PM,PM,GP,I395_SB,110N04122,28279,0,0,0.771707,0.7715333333333334,2.4964264996068115
I-395 SB PM,PM,GP,I395_SB,110-04121,32616,0,0,1.053164,1.0531666666666666,3.3983670390285248
I-395 SB PM,PM,GP,I395_SB,110N04121,32611,0,0,0.508993,0.5089466666666667,4.172031590458857
I-395 SB PM,PM,GP,I395_SB,110N04120,32604,0,0,1.301767,1.3017933333333334,5.188678033829666
I-395 SB PM,PM,ML,I395HOV_SB,110N04301,26470,0,0,0.230288,0.23,-3.62755359436198
I-395 SB PM,PM,ML,I395HOV_SB,110-04300,26831,0,0,0.139486,0.05079999999999999,-3.4576074784550066
I-395 SB PM,PM,ML,I395HOV_SB,110N04300,26827,0,0,0.075176,0.14939999999999998,-3.3524341575842582
I-395 SB PM,PM,ML,I395HOV_SB,110N04299,26695,9,4,0.367424,0.36816666666666664,-3.161755561691922
I-395 SB PM,PM,ML,I395HOV_SB,110-04298,26820,9,4,0.100434,0.1,-2.987547049291842
I-395 SB PM,PM,ML,I395HOV_SB,110N04298,26805,9,4,1.040367,1.04006,-2.5235304792938145
I-395 SB PM,PM,ML,I395HOV_SB,110-04657,26794,9,4,0.544629,0.5456,-1.8375711152051997
I-395 SB PM,PM,ML,I395HOV_SB,110N04657,26791,9,4,0.56994,0.5695,-1.3192579352632414
I-395 SB PM,PM,ML,I395HOV_SB,110-04656,26780,9,4,0.073009,0.0735,-1.0159990973561155
I-395 SB PM,PM,ML,I395HOV_SB,110N04656,26775,9,4,0.569671,0.5695,-0.7022350500070605
I-395 SB PM,PM,ML,I395HOV_SB,110-04655,26763,9,4,0.114815,0.114,-0.3663767674367856
I-395 SB PM,PM,ML,I395HOV_SB,110N04655,28311,9,4,0.666322,0.6666000000000001,0.008155495433311871
I-395 SB PM,PM,ML,I395HOV_SB,110N04654,28301,9,4,0.602694,0.6006666666666667,0.9008574686273987
I-395 SB PM,PM,ML,I395HOV_SB,110-04653,28288,9,4,0.956311,0.9565299999999998,1.6720131469864796
I-395 SB PM,PM,ML,I395HOV_SB,110N04653,28277,9,4,0.711877,0.713,2.498730253687855
I-395 SB PM,PM,ML,I395HOV_SB,110-16046,32623,9,4,0.068162,0.06899999999999999,2.883133948189
I-395 SB PM,PM,ML,I395HOV_SB,110N16046,32625,9,4,0.603967,0.6050000000000001,3.2155444414466077
I-395 SB PM,PM,ML,I395HOV_SB,110-04652,32614,9,4,0.366266,0.36733333333333335,3.697242821012149
I-395 SB PM,PM,ML,I395HOV_SB,110N04652,32610,9,4,0.527386,0.5286666666666667,4.141476209129227
I-395 SB PM,PM,ML,I395HOV_SB,110-04651,32603,9,4,0.486134,0.48566,4.639891589230019
I-395 SB PM,PM,ML,I395HOV_SB,110N04651,32597,9,4,0.635789,0.6365,5.165056897619948
I-395 SB PM,PM,ML,I395HOV_SB,110-04650,32595,9,4,0.196136,0.19773833333333338,5.53540597075719
I-95 NB AM,AM,GP,I95_NB,110P04158,32078,0,0,0.543209,0.5432000000000001,-8.094986191447035
I-95 NB AM,AM,GP,I95_NB,110+04158,29990,0,0,0.157477,0.1573466666666667,-7.764190712633793
I-95 NB AM,AM,GP,I95_NB,110P04157,32832,0,0,0.48243,0.4825333333333333,-7.4726658241043395
I-95 NB AM,AM,GP,I95_NB,110P04156,32264,0,0,0.764486,0.7645433333333334,-6.619029847327022
I-95 NB AM,AM,GP,I95_NB,110+04156,32079,0,0,0.43656,0.43662249999999997,-6.055715050926884
I-95 NB AM,AM,GP,I95_NB,110P04155,32081,0,0,0.556002,0.5560583333333333,-5.565197142112668
I-95 NB AM,AM,GP,I95_NB,110+04155,32269,0,0,2.396225,2.396443333333333,-4.115376629580004
I-95 NB AM,AM,GP,I95_NB,110P04154,32082,0,0,0.239936,0.23999499999999996,-2.8251991704280677
I-95 NB AM,AM,GP,I95_NB,110+04154,29213,0,0,1.495359,1.4955600000000002,-2.0116544497784705
I-95 NB AM,AM,GP,I95_NB,110P04153,32087,0,0,1.015059,1.015,-0.8280988277157644
I-95 NB AM,AM,GP,I95_NB,110+04153,29011,0,0,0.491797,0.49192500000000006,-0.14310234270107097
I-95 NB AM,AM,GP,I95_NB,110P04152,38967,0,0,0.573613,0.5815375,0.25728042790134653
I-95 NB AM,AM,GP,I95_NB,110+04152,39088,0,0,1.136548,1.1286,0.9121236102109085
I-95 NB AM,AM,GP,I95_NB,110P04151,40985,0,0,0.836184,0.8361999999999999,1.7778239591250176
I-95 NB AM,AM,GP,I95_NB,110+04151,39082,0,0,0.647826,0.6478999999999999,2.5119861699161934
I-95 NB AM,AM,GP,I95_NB,110P04150,38196,0,0,0.567997,0.568,3.1086909829908276
I-95 NB AM,AM,GP,I95_NB,110+04150,38995,0,0,0.523557,0.5235,3.6374891812472807
I-95 NB AM,AM,GP,I95_NB,110+04149,39090,0,0,3.04055,3.040486666666667,5.811531823854372
I-95 NB AM,AM,GP,I95_NB,110P04148,39000,0,0,0.514388,0.5144533333333334,7.559013241826522
I-95 NB AM,AM,GP,I95_NB,110+04148,39001,0,0,1.977963,1.9782266666666666,8.78307470752842
I-95 NB AM,AM,GP,I95_NB,110P04147,39003,0,0,0.398953,0.399,9.944141399209432
I-95 NB AM,AM,GP,I95_NB,110+04147,38200,0,0,1.829664,1.8299433333333333,11.034272642314992
I-95 NB AM,AM,GP,I95_NB,110P04146,47687,0,0,0.473619,0.49872833333333333,12.164743444068067
I-95 NB AM,AM,ML,I95HOV_NB,110P04669,31301,4,9,0.466208,0.46549999999999997,-8.267915079327441
I-95 NB AM,AM,ML,I95HOV_NB,110P04668,31307,4,9,0.690683,0.6897166666666666,-7.514463116007658
I-95 NB AM,AM,ML,I95HOV_NB,110+04668,31312,4,9,0.285469,0.284395,-7.080711969603264
I-95 NB AM,AM,ML,I95HOV_NB,110P04667,31314,4,9,1.150254,1.1498333333333333,-6.417229445959767
I-95 NB AM,AM,ML,I95HOV_NB,110P04666,31319,4,9,0.517445,0.5175,-5.560134788925689
I-95 NB AM,AM,ML,I95HOV_NB,110+04666,31432,4,9,2.393864,2.392833333333334,-4.1305183031475465
I-95 NB AM,AM,ML,I95HOV_NB,110P04665,31323,4,9,0.386681,0.386045,-2.7704608411185463
I-95 NB AM,AM,ML,I95HOV_NB,110+04665,31327,4,9,1.483726,1.4841666666666669,-1.8906298557667993
I-95 NB AM,AM,ML,I95HOV_NB,110P04664,31332,4,9,0.893278,0.8906,-0.7697264605667968
I-95 NB AM,AM,ML,I95HOV_NB,110+04664,31333,4,9,0.449308,0.44966666666666666,-0.15983159846929865
I-95 NB AM,AM,ML,I95HOV_NB,110P04663,39093,4,9,1.077887,1.0797,0.38894802399854084
I-95 NB AM,AM,ML,I95HOV_NB,110+04663,39135,4,9,0.515337,0.516,0.9812717874246295
I-95 NB AM,AM,ML,I95HOV_NB,110P04662,39096,4,9,1.002587,1.0033333333333332,1.7019820742094067
I-95 NB AM,AM,ML,I95HOV_NB,110+04662,40977,4,9,0.930388,0.9309999999999999,2.657181203021561
I-95 NB AM,AM,ML,I95HOV_NB,110P04661,39105,4,9,0.254748,0.2555,3.2389992722159615
I-95 NB AM,AM,ML,I95HOV_NB,110P04660,39109,4,9,0.969226,0.9703333333333333,3.8541826355348636
I-95 NB AM,AM,ML,I95HOV_NB,110+04660,39137,4,9,3.045797,3.0458333333333334,5.819949980840509
I-95 NB AM,AM,ML,I95HOV_NB,110P04659,39118,4,9,0.430487,0.432,7.52847934223502
I-95 NB AM,AM,ML,I95HOV_NB,110P04658,39123,4,9,0.762281,0.7625299999999999,8.395822441033971
I-95 NB AM,AM,ML,I95HOV_NB,110+04658,39134,4,9,5.922145,5.915000000000001,11.66736708339867
I-95 SB PM,PM,GP,I95_SB,110N04146,38965,0,0,0.216262,0.21596666666666667,-11.976776610277707
I-95 SB PM,PM,GP,I95_SB,110-04146,38991,0,0,1.934601,1.9346925,-10.924812048930946
I-95 SB PM,PM,GP,I95_SB,110N04147,38986,0,0,0.441556,0.44187000000000004,-9.764634393506554
I-95 SB PM,PM,GP,I95_SB,110-04147,39009,0,0,1.971115,1.95703,-8.586549471389805
I-95 SB PM,PM,GP,I95_SB,110N04148,38977,0,0,0.52349,0.5379166666666666,-7.361548772786211
I-95 SB PM,PM,GP,I95_SB,110-04148,39008,0,0,2.46899,2.4475500000000006,-5.891838320126725
I-95 SB PM,PM,GP,I95_SB,110N04149,38973,0,0,1.012366,1.034215,-4.184046620907834
I-95 SB PM,PM,GP,I95_SB,110-04149,39012,0,0,0.551359,0.5516000000000001,-3.4199398011009703
I-95 SB PM,PM,GP,I95_SB,110N04150,39083,0,0,0.628367,0.62814,-2.8476296737208884
I-95 SB PM,PM,GP,I95_SB,110-04150,39011,0,0,0.620662,0.6205,-2.234485776096389
I-95 SB PM,PM,GP,I95_SB,110N04151,38820,0,0,0.569826,0.5699000000000001,-1.6458480372317528
I-95 SB PM,PM,GP,I95_SB,110-04151,38617,0,0,1.414268,1.4153733333333334,-0.7837525841442857
I-95 SB PM,PM,GP,I95_SB,110N04152,39077,0,0,0.550806,0.5528049999999999,-0.0038822578961100196
I-95 SB PM,PM,GP,I95_SB,110-04152,31941,0,0,0.318173,0.31508499999999995,0.3221843448439137
I-95 SB PM,PM,GP,I95_SB,110N04153,31935,0,0,0.783386,0.7832458333333332,0.8184794756045831
I-95 SB PM,PM,GP,I95_SB,110-04153,31931,0,0,1.714464,1.7145100000000002,1.9935668195379619
I-95 SB PM,PM,GP,I95_SB,110N04154,31926,0,0,0.208221,0.20824,2.899376317443341
I-95 SB PM,PM,GP,I95_SB,110-04154,31922,0,0,2.619553,2.6196,4.283804657736907
I-95 SB PM,PM,GP,I95_SB,110N04155,31917,0,0,0.637851,0.6379,5.884364410604907
I-95 SB PM,PM,GP,I95_SB,110N04156,32265,0,0,0.739942,0.739875,6.817931499903267
I-95 SB PM,PM,GP,I95_SB,110-04156,32831,0,0,0.456485,0.45640000000000003,7.3564751803182835
I-95 SB PM,PM,GP,I95_SB,110N04157,31912,0,0,0.442042,0.44206666666666666,7.755609387793013
I-95 SB PM,PM,GP,I95_SB,110N04158,31907,0,0,0.529828,0.52962,8.289884309603408
I-95 SB PM,PM,ML,I95HOV_SB,110-17777,39130,9,4,5.922145,5.913471666666666,-11.452557104155694
I-95 SB PM,PM,ML,I95HOV_SB,110N04658,39117,9,4,0.762281,0.7625,-8.181246319554191
I-95 SB PM,PM,ML,I95HOV_SB,110N04659,39115,9,4,0.430487,0.43079999999999996,-7.313775626754021
I-95 SB PM,PM,ML,I95HOV_SB,110-04659,39111,9,4,3.045797,3.0458866666666666,-5.605430554616838
I-95 SB PM,PM,ML,I95HOV_SB,110N04660,39103,9,4,0.969226,0.9706666666666667,-3.6400267104849124
I-95 SB PM,PM,ML,I95HOV_SB,110-04661,39098,9,4,0.930388,0.9320683333333335,-2.4434125203681343
I-95 SB PM,PM,ML,I95HOV_SB,110N04662,39095,9,4,1.002587,1.0023333333333333,-1.4883983866138701
I-95 SB PM,PM,ML,I95HOV_SB,110-04662,39092,9,4,0.515337,0.51612,-0.7675807156543861
I-95 SB PM,PM,ML,I95HOV_SB,110N04663,38810,9,4,1.077887,1.07689,-0.17447232583950295
I-95 SB PM,PM,ML,I95HOV_SB,110-04663,31331,9,4,0.449308,0.45,0.3751157603228349
I-95 SB PM,PM,ML,I95HOV_SB,110N04664,31329,9,4,0.893278,0.8930716666666668,0.9853127513964791
I-95 SB PM,PM,ML,I95HOV_SB,110-04664,31324,9,4,1.483726,1.4834533333333333,2.1059047643828173
I-95 SB PM,PM,ML,I95HOV_SB,110N04665,31438,9,4,0.386681,0.38765083333333333,2.985262297874584
I-95 SB PM,PM,ML,I95HOV_SB,110-04665,31434,9,4,2.393864,2.3932599999999997,4.345561714948781
I-95 SB PM,PM,ML,I95HOV_SB,110N04666,31316,9,4,0.517445,0.5172183333333333,5.775463036211496
I-95 SB PM,PM,ML,I95HOV_SB,110N04667,32516,9,4,1.150254,1.1497033333333335,6.63223281818565
I-95 SB PM,PM,ML,I95HOV_SB,110-04667,31308,9,4,0.285469,0.2846666666666667,7.29531494302292
I-95 SB PM,PM,ML,I95HOV_SB,110N04668,31305,9,4,0.690683,0.6902,7.728723041634721
I-95 SB PM,PM,ML,I95HOV_SB,110-04668,31302,9,4,0.233731,0.23450000000000001,8.148405605797741
I-95 SB PM,PM,ML,I95HOV_SB,110N04669,32578,9,4,0.466208,0.4652666666666667,8.481719838505766
