facility,tmcs,median_TTI,median_PTI95,median_gamma95,share_tmcs_TTI_ge_1p05,k_fit_tmcs,local_k,local_k_95_low,local_k_95_high,shrp2_k,k_basis
GP,85,1.5613348883870302,2.4209902674473804,1.384784026670532,0.9529411764705882,81,2.968667775490035,2.8325791511063807,3.0989343263471096,3.67,"PTI95 = 1 + k ln(TTI), fitted on TMCs with TTI >= 1.05"
ML,84,0.9978542072300616,1.0166000821608194,1.0165016222003072,0.05952380952380952,5,4.62095595197972,1.9161831528461397,5.314995722807107,3.67,"PTI95 = 1 + k ln(TTI), fitted on TMCs with TTI >= 1.05"
