pair,primary,weekdays,ml_length_mi,gp_length_mi,gp_TTI,ml_TTI,gp_PTI95,ml_PTI95,gp_gamma95,ml_gamma95,mean_time_saving_min,mean_time_saving_95_low,mean_time_saving_95_high,planning_time_saving_min,planning_time_saving_95_low,planning_time_saving_95_high,gp_ml_daily_T_pearson_r,saving_basis
I-95 SB PM,True,23,23.5997275,21.35410166666667,2.1248991829853145,1.0051319771997353,2.548510100878943,1.0117439015219238,1.1993557723988055,1.0065781653277106,26.977558079690397,24.66178607514997,29.0989523934969,36.19853000296936,31.493097327139946,36.68576908169872,0.635933231319908,"GP minus ML per-mile time, scaled to the managed-lane section length; min per trip"
I-95 NB AM,False,23,23.62148666666667,21.125803333333337,1.530515716140293,1.0084006010428161,2.0159007876236483,1.0851412244114456,1.3171382471703175,1.0761013264859915,13.98419951851463,11.626739619805193,16.49438244622834,23.22069284599985,17.494385500179604,26.947860524041605,0.2626340828210888,"GP minus ML per-mile time, scaled to the managed-lane section length; min per trip"
I-395 SB PM,False,23,9.637221666666665,9.914732500000001,1.850805698693242,0.9830547158701766,2.375647493659893,0.9912837822336757,1.2835747671066793,1.0083709138775812,9.245335355695111,7.9098378457424285,10.541037744912513,14.219097440804768,12.532781149471802,14.266762309112973,0.2671152069832221,"GP minus ML per-mile time, scaled to the managed-lane section length; min per trip"
I-395 NB AM,False,23,9.48581333333333,10.520480000000001,1.7914040981071013,1.0241194538186258,2.212305330885118,1.0971933301161818,1.2349560510790194,1.0713528837139905,8.540007585250704,7.249703691188752,9.848180705762847,11.95027688202931,10.338877445600277,15.702171513826146,0.48722631885328604,"GP minus ML per-mile time, scaled to the managed-lane section length; min per trip"
