corridor_period,cutoff,tmc_days,share_tmc_days_P_gt_0,mean_P_h,sd_P_h,cv_P,spearman_P_vs_daily_TTI,spearman_within_TMC_P_vs_TTI
I-95 NB AM,0.75 vf,552,0.657608695652174,1.5025664251207729,1.483977393572402,0.9876284793553293,0.8980714817006644,0.8108914543322769
I-95 NB AM,0.50 vf,552,0.5126811594202898,0.7866847826086956,1.0373642374184322,1.3186529857339657,0.9114337514187695,0.8925500214502256
I-95 NB AM,0.25 vf,552,0.18115942028985507,0.13164251207729466,0.3466140767911396,2.6329950053492075,0.5976877753860114,0.6519856037448214
I-95 SB PM,0.75 vf,529,0.8431001890359168,3.386263390044108,2.8737521675610154,0.8486499236917253,0.9304127401204334,0.7950178990545249
I-95 SB PM,0.50 vf,529,0.7032136105860114,2.3514492753623184,2.8648169096690848,1.2183196719085787,0.9474358236027612,0.8678297281192208
I-95 SB PM,0.25 vf,529,0.3383742911153119,1.2774102079395084,2.5505793792793487,1.9966799728283766,0.8214097968798376,0.6915709471075403
