model,intercept,slope,parameter_count,rss,rmse,r_squared,aic,aicc,loocv_rmse,scope,tmcs,selected
constant,0.2590401389801587,0.0,1,0.07965957728400273,0.07056007072169196,-2.220446049250313e-16,-82.84130767976163,-82.55559339404734,0.07526407543647141,I-95 SB PM,16,True
linear,0.3148931832756359,-0.05379033786793712,2,0.07118879543513965,0.06670307125385028,0.10633726838221846,-82.6401370027447,-81.71706007966777,0.07564700311271541,I-95 SB PM,16,False
constant,0.2711385578998111,0.0,1,1.0126392170494272,0.12293908314656012,0.0,-278.87288490510895,-278.81134644357047,0.1248017965275686,All GP corridor-periods,67,True
linear,0.17501412521480356,0.09310559789482746,2,0.9631999350222077,0.11990045218082906,0.048822207549173324,-280.226521715685,-280.039021715685,0.1242590875145673,All GP corridor-periods,67,False
