group,tmcs,tmc_days,mean_dc_min,mean_dc_max,median_sigma_ln_dc,median_qq_r2_ln_dc,median_qq_r2_dc,share_shapiro_p_gt_005
I-95 SB PM,16,213,0.6029337114989042,2.007336623455166,0.24009845415810827,0.9362493925688611,0.9112666242306653,0.6875
I-95 NB AM,10,155,0.8162877605506456,1.4717115789639128,0.26426277447281277,0.9427618648511291,0.9312193740407808,0.8
I-95 NB PM,9,97,0.9983303361550757,1.5003995759438267,0.5504624807437736,0.8789125403271221,0.9585154929500439,0.7777777777777778
I-395 NB AM,12,173,0.7642743780078673,1.2400929973629018,0.2031391606509163,0.9197226280950588,0.9512567373009175,0.9166666666666666
I-395 NB PM,9,122,0.5903810595588438,1.444821555596967,0.2046036507930716,0.9781302321533373,0.9615072941987196,1.0
I-395 SB PM,11,176,0.6888780899141842,1.0781574156580873,0.18752848051339824,0.903042940044515,0.8974983100182188,0.6363636363636364
