sigma_source,tmcs,spearman_rho,mae,bias_model_minus_observed
own TMC sigma (C3),10,0.7818181818181817,1.233011487931546,-1.233011487931546
"planning sigma, LOTO",10,0.8424242424242423,1.2198199052915581,-1.2198199052915581
