corridor,facility,period,tmc_code,network_link_id,road_order,length_mi,free_flow_speed_mph,accepted_episode_days,mean_dc,mu_ln_dc,sigma_ln_dc,alpha,beta,f_d,n,parameter_reliability,parameter_scope,calibration_n_episodes,calibration_duration_r2,calibration_speed_r2,observed_mean_tti,observed_pti95,observed_gamma95,model_mean_tti,model_pti95,model_gamma95,pti95_error_model_minus_observed,gamma95_error_model_minus_observed,primary_c3_subset,analysis_scope,ln_observed_mean_tti,shrp2_coefficient,shrp2_predicted_pti95,local_full_sample_coefficient,local_full_sample_predicted_pti95,local_loto_coefficient,local_loto_predicted_pti95,shrp2_error_predicted_minus_observed,local_loto_error_predicted_minus_observed,relationship_form
I-95 SB,GP,PM 15:00-19:00,110N04158,31907,850.001,0.529828,67.81,16,0.7004004284671573,-0.3993231135766853,0.3047308891698949,1.3374541104839113,1.7473796327985045,4.8622643416314535,1.1312604388758891,high,sensor_period,16,0.9328050441451158,0.7112191266653467,2.114167742979011,3.2084000183654995,1.5175711714552216,1.7670268907051998,2.598157457151503,1.470355358380884,-0.6102425612139966,-0.0472158130743376,True,I-95 South GP PM; conditional on accepted congestion episodes,0.7486612329183752,3.67,3.7475867248104366,2.6853567155278864,3.0104224694727457,2.6693745111311795,2.998457212624354,0.5391867064449372,-0.20994280574114565,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110N04157,31912,852.0,0.442042,68.067,14,0.9199809122724284,-0.105280273096028,0.2250713758036707,0.6481586453795056,0.4018514282308939,4.509071541144421,1.0255399609351643,high,sensor_period,14,0.9826690433552808,0.1280635362575505,2.14766714555889,2.7390546917770253,1.2753627569528414,1.6238554141111052,1.7209700992350172,1.0598050074409318,-1.018084592542008,-0.2155577495119096,True,I-95 South GP PM; conditional on accepted congestion episodes,0.7643822044709364,3.67,3.8052826904083368,2.6853567155278864,3.052638886006039,2.711269582563814,3.0724462204351237,1.0662279986313115,0.3333915286580984,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110-04156,32831,853.0,0.456485,67.155,9,0.7427342406283786,-0.3418188603036713,0.3302876972139797,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,1.6264756605324342,2.104843509826902,1.2941131311721392,1.303649119755737,1.7839280812832938,1.368411219130456,-0.320915428543608,0.0742980879583168,True,I-95 South GP PM; conditional on accepted congestion episodes,0.48641550249863497,3.67,2.7851448941699903,2.6853567155278864,2.306199136171581,2.695561354537371,2.3111628307831964,0.6803013843430885,0.20631932095629457,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110N04156,32265,854.0,0.739942,66.6465,9,0.8000954588303322,-0.2474916541117406,0.2392838901553795,0.5139767553769299,1.5101318490350717,4.24270781913548,1.0110302222365477,medium,sensor_period,9,0.9927833321600328,0.0657066816531863,1.7075751376459236,2.0607241935854432,1.2068131868131868,1.3775564161176024,1.6408537282893991,1.1911335964837313,-0.4198704652960439,-0.0156795903294555,True,I-95 South GP PM; conditional on accepted congestion episodes,0.5350743159724863,3.67,2.963722739619025,2.6853567155278864,2.4368654077032064,2.706435541934788,2.448144146324382,0.9029985460335817,0.3874199527389388,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110-04154,31922,857.0,2.619553,68.91,17,1.0548859783710578,0.0391377347058638,0.1737551244451707,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.8861072460102326,3.724712479571896,1.2905662063393364,1.942644541802604,2.157821218981858,1.110764822152996,-1.5668912605900376,-0.1798013841863404,True,I-95 South GP PM; conditional on accepted congestion episodes,1.059908620440941,3.67,4.889864637018253,2.6853567155278864,3.846232731746978,2.700142601815197,3.861904420083758,1.1651521574463564,0.1371919405118618,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110N04154,31926,858.0,0.208221,69.25,19,1.182647075639311,0.1431653331761235,0.2199465233525937,1.1179706428543428,0.9136277352962864,5.110037545702653,1.0092834114144824,high,sensor_period,19,0.9638205371552288,0.2581032227980705,3.544777791553627,5.153016423122014,1.4536923683623957,2.3001832735942447,2.7733085299859064,1.2056902429571887,-2.3797078931361075,-0.2480021254052067,True,I-95 South GP PM; conditional on accepted congestion episodes,1.2654754758061155,3.67,5.644294996208444,2.6853567155278864,4.398253067291799,2.5693439527434707,4.251441761107609,0.4912785730864302,-0.9015746620144052,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110-04153,31931,859.0,1.714464,69.29,18,1.2170492133742763,0.1710614083893621,0.2227877401606754,1.2559874995691738,0.9792647236285412,5.266669340466717,1.0418326551463224,high,sensor_period,18,0.9183770118323548,0.6199240704821818,4.3150535760883235,4.888673974174045,1.1329347105362524,2.520797996026385,3.1261040743150943,1.240124785580944,-1.762569899858951,0.1071900750446916,True,I-95 South GP PM; conditional on accepted congestion episodes,1.462109740701259,3.67,6.36594274837362,2.6853567155278864,4.926286211030863,2.692501776588152,4.936733074404982,1.4772687741995751,0.048059100230936735,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110N04152,39077,862.0,0.550806,67.51,10,2.007336623455166,0.6840798489615149,0.17382021827494,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,4.925018883942602,5.089248597862849,1.033346006947445,2.498749321130486,2.5545677454499307,1.022338545066294,-2.5346808524129187,-0.0110074618811508,True,I-95 South GP PM; conditional on accepted congestion episodes,1.5943281089197678,3.67,6.851184159735548,2.6853567155278864,5.281339694042574,2.7273524341672153,5.348294648723542,1.7619355618726988,0.2590460508606922,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110N04149,38973,868.0,1.012366,71.0155,7,0.6777114503652353,-0.4029835205419368,0.1830273747364341,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,1.9279230968827572,2.576625533033507,1.3364773404082515,1.676264685633036,1.994269478673118,1.1897103695887912,-0.582356054360389,-0.1467669708194603,True,I-95 South GP PM; conditional on accepted congestion episodes,0.6564433078838827,3.67,3.4091469399338497,2.6853567155278864,2.7627844451893244,2.698352140211504,2.771315204755994,0.8325214069003426,0.19468967172248686,PTI95 = 1 + k * ln(TTI)
I-95 SB,GP,PM 15:00-19:00,110-04147,39009,871.0,1.971115,70.26,14,0.7824883674886698,-0.326286470208843,0.4128154221294856,0.3982570780043588,0.6110600280664913,4.449208452815888,1.0132378934563613,high,sensor_period,14,0.9791334373034624,0.1561491801460669,1.7782706274053497,2.628847320129301,1.4783167868914395,1.336814857507186,1.4940514487679029,1.1176203199550927,-1.134795871361398,-0.3606964669363468,True,I-95 South GP PM; conditional on accepted congestion episodes,0.5756413343985132,3.67,3.1126036972425433,2.6853567155278864,2.545802323062481,2.680326331196724,2.5429066259135533,0.4837563771132425,-0.08594069421574746,PTI95 = 1 + k * ln(TTI)
