subset,metric,tmcs,accepted_episode_days,pearson_r,pearson_bootstrap_95_low,pearson_bootstrap_95_high,spearman_rho,spearman_bootstrap_95_low,spearman_bootstrap_95_high,mae,rmse,bias_model_minus_observed,analysis_scope
primary_sensor_high_medium,PTI95,10,133,0.8606276985189705,0.6437707910737123,0.960191942484412,0.7818181818181817,0.3766233766233766,0.9620253164556963,1.233011487931546,1.4479118736769847,-1.233011487931546,conditional on accepted PM congestion episodes
primary_sensor_high_medium,gamma95,10,133,0.47192456395991,-0.34988294479955767,0.8460073571643175,0.4424242424242424,-0.4088050314465409,0.9500872093023255,0.14062157251472165,0.17650707780594246,-0.10432393991411995,conditional on accepted PM congestion episodes
primary_sensor_high_medium,mean_TTI,10,133,0.9619008200387038,0.9084903827369527,0.9916905309843215,0.9393939393939393,0.6799753086419753,1.0,0.8625494392215567,1.1140693179697163,-0.8625494392215567,conditional on accepted PM congestion episodes
all_high_medium,PTI95,11,135,0.055446489566671225,-0.5514748450009604,0.9383804948961122,0.33636363636363636,-0.38836299892125137,0.8983247761979988,1.423878686702441,1.7074803855353597,-0.8179603822640061,conditional on accepted PM congestion episodes
all_high_medium,gamma95,11,135,-0.23496980388274025,-0.7677306075453276,0.7819601196804916,0.17272727272727276,-0.6656180017226528,0.8411214953271027,0.23762081831849563,0.40112085125056673,0.014943079746821459,conditional on accepted PM congestion episodes
all_high_medium,mean_TTI,11,135,0.8248684879985624,0.29239554987175864,0.9857505747937814,0.7000000000000001,0.0046208530805687265,0.9999999999999999,0.8439436510135113,1.080585621418469,-0.724328056662046,conditional on accepted PM congestion episodes
all_parameterized,PTI95,19,226,0.5015452785368351,-0.05746246193216688,0.969414702239996,0.5947368421052631,0.03714688598314501,0.9319831483244808,1.445961565536167,1.829670381421252,-1.095166757703389,conditional on accepted PM congestion episodes
all_parameterized,gamma95,19,226,-0.006373502736159969,-0.4240329592029385,0.7568502248827411,0.38947368421052625,-0.1647168062366801,0.7740854112966599,0.19245797483137236,0.3243706563105452,-0.03888011306271853,conditional on accepted PM congestion episodes
all_parameterized,mean_TTI,19,226,0.9470671430296669,0.7829819720172898,0.9915249580213213,0.8280701754385964,0.4636481537992066,0.9894179894179892,0.9727518725472348,1.4108290814907216,-0.903500738975334,conditional on accepted PM congestion episodes
