link_id,valid_5min_cells,correlation_with_downstream,mean_error_vph,mae_vph,rmse_vph
L405S-114,672,0.9494551850529542,-585.7678571428571,898.4107142857143,1122.6452499088289
L405S-115,0,,,,
L405S-132,720,0.7841576263877632,-43.583333333333336,738.7833333333333,912.2088576636384
