model,intercept,slope,parameter_count,rss,rmse,r_squared,aic,aicc,loocv_rmse,selected,selection_reason
constant,0.037560509377250154,0.0,1,0.0006128336600704003,0.007146290763223489,0.0,-116.58788395025297,-116.18788395025297,0.00779595355988017,True,Constant selected by parsimony because its AICc is within 2 of the minimum.
linear,0.06438325869130168,-0.03181639998225956,2,0.0004163596504940553,0.005890385177657848,0.320599246382411,-119.22641331844937,-117.89307998511605,0.006929379790192717,False,
