corridor,facility,tmc_code,date_local,road_order,lanes,capacity_speed_mph,capacity_vph_link,observed_15min_bins,threshold_multiplier,threshold_speed_mph,episode_identified,duration_h,demand_veh_link,d_over_c_h,episode_start_minute,episode_end_minute,minimum_speed_mph,minimum_speed_minute,touches_data_start,touches_data_end
I-95 HOV NB,HOV,110+04658,2025-10-01,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-02,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-03,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-06,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-07,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-08,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-09,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-10,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-13,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-14,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-15,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-16,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-17,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-20,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-21,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-22,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-23,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-24,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-27,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,True,0.633757272084234,2613.870455184444,0.653467613796111,384.6258615731804,422.6512978982344,32.10333333333333,405.0,False,False
I-95 HOV NB,HOV,110+04658,2025-10-28,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-29,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-30,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-31,1.0,2,51.618795026617974,4000.0,96,0.9,46.45691552395618,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110P04660,2025-10-01,4.0,2,50.204581464244875,4000.0,96,0.9,45.18412331782039,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110P04660,2025-10-02,4.0,2,50.204581464244875,4000.0,96,0.9,45.18412331782039,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110P04660,2025-10-03,4.0,2,50.204581464244875,4000.0,96,0.9,45.18412331782039,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110P04660,2025-10-06,4.0,2,50.204581464244875,4000.0,96,0.9,45.18412331782039,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110P04660,2025-10-07,4.0,2,50.204581464244875,4000.0,96,0.9,45.18412331782039,False,0.0,0.0,0.0,,,,,False,False
