dc_bin,dc_bin_lower,dc_bin_upper,detector_count,detector_days,mean_dc,mean_mu_ln_dc,mean_sigma_ln_dc,min_sigma_ln_dc,max_sigma_ln_dc
0.4-0.5,0.4,0.5,0,0,,,,,
0.5-0.6,0.5,0.6,1,99,0.556242985409652,-0.5876537343555117,0.04716531058099641,0.04716531058099641,0.04716531058099641
0.6-0.7,0.6,0.7,1,99,0.6819521784799562,-0.38327792339282296,0.03139024281851743,0.03139024281851743,0.03139024281851743
0.7-0.8,0.7,0.8,2,197,0.7540454089561233,-0.2842091252026288,0.0498364471109064,0.049301927307743215,0.050370966914069594
0.8-0.9,0.8,0.9,4,395,0.8798710947892495,-0.1285707245698072,0.03346543777558146,0.02915500008260553,0.03818362455237025
0.9-1.0,0.9,1.0,3,296,0.9486030941305413,-0.05397704888168004,0.03574689890086426,0.032768565507450734,0.03951506265133121
1.0-1.1,1.0,1.1,1,98,1.0049952032094889,0.0044981456676246485,0.03139521710075655,0.03139521710075655,0.03139521710075655
1.1-1.2,1.1,1.2,0,0,,,,,
1.2-1.3,1.2,1.3,0,0,,,,,
