control_volume_id,date_local,threshold_multiplier,episode_identified,duration_bins,duration_h
I5N-CV39-45,2025-07-14,0.95,True,9,0.75
I5N-CV39-45,2025-07-14,1.0,True,9,0.75
I5N-CV39-45,2025-07-14,1.05,True,10,0.8333333333333334
I5N-CV39-45,2025-07-14,1.1,True,10,0.8333333333333334
I5N-CV39-43,2025-07-15,0.9,False,0,0.0
I5N-CV39-43,2025-07-15,0.95,False,0,0.0
I5N-CV39-43,2025-07-15,1.0,False,0,0.0
I5N-CV39-43,2025-07-15,1.05,True,3,0.25
I5N-CV39-43,2025-07-15,1.1,True,3,0.25
I5N-CV39-44,2025-07-15,0.9,True,3,0.25
I5N-CV39-44,2025-07-15,0.95,True,4,0.3333333333333333
I5N-CV39-44,2025-07-15,1.0,True,5,0.4166666666666667
I5N-CV39-44,2025-07-15,1.05,True,8,0.6666666666666666
I5N-CV39-44,2025-07-15,1.1,True,8,0.6666666666666666
I5N-CV39-45,2025-07-15,0.9,True,19,1.5833333333333333
I5N-CV39-45,2025-07-15,0.95,True,24,2.0
I5N-CV39-45,2025-07-15,1.0,True,24,2.0
I5N-CV39-45,2025-07-15,1.05,True,24,2.0
I5N-CV39-45,2025-07-15,1.1,True,25,2.0833333333333335
I5N-CV39-43,2025-07-16,0.9,True,9,0.75
I5N-CV39-43,2025-07-16,0.95,True,9,0.75
I5N-CV39-43,2025-07-16,1.0,True,10,0.8333333333333334
I5N-CV39-43,2025-07-16,1.05,True,11,0.9166666666666666
I5N-CV39-43,2025-07-16,1.1,True,11,0.9166666666666666
I5N-CV39-44,2025-07-16,0.9,True,11,0.9166666666666666
I5N-CV39-44,2025-07-16,0.95,True,12,1.0
I5N-CV39-44,2025-07-16,1.0,True,13,1.0833333333333333
I5N-CV39-44,2025-07-16,1.05,True,14,1.1666666666666667
I5N-CV39-44,2025-07-16,1.1,True,14,1.1666666666666667
I5N-CV39-45,2025-07-16,0.9,True,16,1.3333333333333333
I5N-CV39-45,2025-07-16,0.95,True,16,1.3333333333333333
I5N-CV39-45,2025-07-16,1.0,True,16,1.3333333333333333
I5N-CV39-45,2025-07-16,1.05,True,17,1.4166666666666667
I5N-CV39-45,2025-07-16,1.1,True,17,1.4166666666666667
I5N-CV39-43,2025-07-17,0.9,True,11,0.9166666666666666
I5N-CV39-43,2025-07-17,0.95,True,13,1.0833333333333333
I5N-CV39-43,2025-07-17,1.0,True,20,1.6666666666666667
I5N-CV39-43,2025-07-17,1.05,True,20,1.6666666666666667
I5N-CV39-43,2025-07-17,1.1,True,20,1.6666666666666667
I5N-CV39-44,2025-07-17,0.9,True,22,1.8333333333333333
I5N-CV39-44,2025-07-17,0.95,True,26,2.1666666666666665
I5N-CV39-44,2025-07-17,1.0,True,27,2.25
I5N-CV39-44,2025-07-17,1.05,True,27,2.25
I5N-CV39-44,2025-07-17,1.1,True,41,3.4166666666666665
I5N-CV39-45,2025-07-17,0.9,True,40,3.3333333333333335
I5N-CV39-45,2025-07-17,0.95,True,41,3.4166666666666665
I5N-CV39-45,2025-07-17,1.0,True,41,3.4166666666666665
I5N-CV39-45,2025-07-17,1.05,True,41,3.4166666666666665
I5N-CV39-45,2025-07-17,1.1,True,41,3.4166666666666665
I5N-CV39-43,2025-07-18,0.9,False,0,0.0
I5N-CV39-43,2025-07-18,0.95,True,3,0.25
I5N-CV39-43,2025-07-18,1.0,True,3,0.25
I5N-CV39-43,2025-07-18,1.05,True,3,0.25
I5N-CV39-43,2025-07-18,1.1,True,3,0.25
I5N-CV39-44,2025-07-18,0.9,True,4,0.3333333333333333
I5N-CV39-44,2025-07-18,0.95,True,4,0.3333333333333333
I5N-CV39-44,2025-07-18,1.0,True,4,0.3333333333333333
I5N-CV39-44,2025-07-18,1.05,True,5,0.4166666666666667
I5N-CV39-44,2025-07-18,1.1,True,5,0.4166666666666667
I5N-CV39-45,2025-07-18,0.9,True,8,0.6666666666666666
I5N-CV39-45,2025-07-18,0.95,True,8,0.6666666666666666
I5N-CV39-45,2025-07-18,1.0,True,10,0.8333333333333334
I5N-CV39-45,2025-07-18,1.05,True,23,1.9166666666666667
I5N-CV39-45,2025-07-18,1.1,True,36,3.0
I5N-CV39-43,2025-07-21,0.9,True,3,0.25
I5N-CV39-43,2025-07-21,0.95,True,5,0.4166666666666667
I5N-CV39-43,2025-07-21,1.0,True,6,0.5
I5N-CV39-43,2025-07-21,1.05,True,6,0.5
I5N-CV39-43,2025-07-21,1.1,True,6,0.5
I5N-CV39-44,2025-07-21,0.9,True,10,0.8333333333333334
I5N-CV39-44,2025-07-21,0.95,True,17,1.4166666666666667
I5N-CV39-44,2025-07-21,1.0,True,17,1.4166666666666667
I5N-CV39-44,2025-07-21,1.05,True,18,1.5
I5N-CV39-44,2025-07-21,1.1,True,18,1.5
I5N-CV39-45,2025-07-21,0.9,True,18,1.5
I5N-CV39-45,2025-07-21,0.95,True,18,1.5
I5N-CV39-45,2025-07-21,1.0,True,22,1.8333333333333333
I5N-CV39-45,2025-07-21,1.05,True,23,1.9166666666666667
I5N-CV39-45,2025-07-21,1.1,True,23,1.9166666666666667
I5N-CV39-43,2025-07-22,0.9,True,8,0.6666666666666666
I5N-CV39-43,2025-07-22,0.95,True,14,1.1666666666666667
I5N-CV39-43,2025-07-22,1.0,True,15,1.25
I5N-CV39-43,2025-07-22,1.05,True,19,1.5833333333333333
I5N-CV39-43,2025-07-22,1.1,True,19,1.5833333333333333
I5N-CV39-44,2025-07-22,0.9,True,19,1.5833333333333333
I5N-CV39-44,2025-07-22,0.95,True,20,1.6666666666666667
I5N-CV39-44,2025-07-22,1.0,True,20,1.6666666666666667
I5N-CV39-44,2025-07-22,1.05,True,20,1.6666666666666667
I5N-CV39-44,2025-07-22,1.1,True,31,2.5833333333333335
I5N-CV39-45,2025-07-22,0.9,True,35,2.9166666666666665
I5N-CV39-45,2025-07-22,0.95,True,35,2.9166666666666665
I5N-CV39-45,2025-07-22,1.0,True,35,2.9166666666666665
I5N-CV39-45,2025-07-22,1.05,True,35,2.9166666666666665
I5N-CV39-45,2025-07-22,1.1,True,35,2.9166666666666665
I5N-CV39-43,2025-07-23,0.9,False,0,0.0
I5N-CV39-43,2025-07-23,0.95,True,3,0.25
I5N-CV39-43,2025-07-23,1.0,True,4,0.3333333333333333
I5N-CV39-43,2025-07-23,1.05,True,4,0.3333333333333333
I5N-CV39-43,2025-07-23,1.1,True,8,0.6666666666666666
I5N-CV39-44,2025-07-23,0.9,True,8,0.6666666666666666
