corridor,facility,tmc_code,road_order,net_link_id,weekday_dates,weekday_records,legacy_vf_mph,ritis_reference_mph,observed_offpeak_p50_mph,observed_offpeak_p85_mph,observed_offpeak_p95_mph,net_free_speed_mph,recommended_calibration_vf_mph,recommended_calibration_vf_source,model_application_vf_mph,model_application_vf_source,network_minus_offpeak_p85_mph,ritis_reference_minus_offpeak_p85_mph,legacy_minus_offpeak_p85_mph,network_within_5mph_of_offpeak_p85,legacy_within_5mph_of_offpeak_p85,ritis_reference_unique_values,audit_finding
I-95 NB,GP,110+04147,653.0,38200,23,6624,70.0,67.0,70.39,72.0,73.0,74.99981358864233,72.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,2.9998135886423256,-5.0,-2.0,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04147,654.0,39003,23,6624,70.0,68.0,70.4,72.38,73.39,74.99981358864233,72.38,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,2.61981358864233,-4.3799999999999955,-2.3799999999999955,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04148,655.0,39001,23,6624,70.0,66.0,70.0,71.59,72.79,74.99981358864233,71.59,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.409813588642322,-5.590000000000003,-1.5900000000000034,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04150,659.0,39107,23,6624,70.0,65.0,68.6,70.8,72.19,74.99981358864233,70.8,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.1998135886423285,-5.799999999999997,-0.7999999999999972,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04150,660.0,38196,23,6624,70.0,65.0,68.795,70.9995,72.19,62.99984341445955,70.9995,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-7.99965658554045,-5.999499999999998,-0.9994999999999976,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04151,661.0,39082,23,6624,70.0,63.0,67.725,69.99,71.09750000000001,62.99984341445955,69.99,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-6.990156585540447,-6.989999999999995,0.010000000000005116,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04151,662.0,38180,23,6624,70.0,63.0,68.6,70.8,72.0,62.99984341445955,70.8,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-7.800156585540449,-7.799999999999997,-0.7999999999999972,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04152,663.0,39088,23,6624,70.0,63.0,67.8,69.98949999999999,70.99,68.99982850155094,69.98949999999999,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,68.99982850155094,AM Cube network free speed,-0.9896714984490558,-6.9894999999999925,0.010500000000007503,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04153,666.0,32087,23,6624,70.0,65.0,68.39,70.6,71.59,74.99981358864233,70.6,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.399813588642331,-5.599999999999994,-0.5999999999999943,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04154,667.0,32085,23,6624,70.0,66.0,68.39,70.4,71.59,74.99981358864233,70.4,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.59981358864232,-4.400000000000006,-0.4000000000000057,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04154,668.0,32082,23,6624,70.0,65.0,68.39,70.8,72.19,68.99982850155094,70.8,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,68.99982850155094,AM Cube network free speed,-1.8001714984490604,-5.799999999999997,-0.7999999999999972,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04155,669.0,29248,23,6624,70.0,63.0,66.99,69.19,70.2,68.99982850155094,69.19,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,68.99982850155094,AM Cube network free speed,-0.190171498449061,-6.189999999999998,0.8100000000000023,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04155,670.0,32081,23,6624,70.0,61.0,65.2,68.39,69.98,68.99982850155094,68.39,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,68.99982850155094,AM Cube network free speed,0.6098285015509362,-7.390000000000001,1.6099999999999994,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04156,671.0,29335,23,6624,70.0,60.0,64.8,67.9995,69.77,68.99982850155094,67.9995,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,68.99982850155094,AM Cube network free speed,1.000328501550939,-7.999499999999998,2.0005000000000024,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04156,672.0,32264,23,6624,70.0,61.0,65.94,68.79,70.37,62.99984341445955,68.79,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-5.790156585540458,-7.790000000000006,1.2099999999999937,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04157,673.0,32832,23,6624,70.0,61.0,66.39,69.19,70.79,62.99984341445955,69.19,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-6.19015658554045,-8.189999999999998,0.8100000000000023,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04157,674.0,32832,23,6624,70.0,59.0,65.0,67.99,69.5395,62.99984341445955,67.99,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-4.990156585540447,-8.989999999999995,2.010000000000005,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04158,675.0,29990,23,6624,70.0,58.0,62.775000000000006,65.98949999999999,67.4,62.99984341445955,65.98949999999999,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-2.9896565855404447,-7.9894999999999925,4.0105000000000075,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04159,676.001,32078,23,6596,70.0,62.0,64.6,67.2,68.76,62.99984341445955,67.2,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-4.200156585540455,-5.200000000000003,2.799999999999997,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
