corridor,facility,tmc_count,legacy_vf_mph,ritis_reference_median_mph,observed_offpeak_p85_median_mph,network_vf_median_mph,network_vf_min_mph,network_vf_max_mph,network_within_5mph_count,legacy_within_5mph_count,legacy_capacity_vphpl,network_capacity_vphpl_median,network_capacity_vphpl_min,network_capacity_vphpl_max,network_lanes_median,network_lanes_min,network_lanes_max,mapping_match_count,recommended_vf_policy,recommended_capacity_policy
I-95 HOV NB,HOV,14,65.0,71.0,71.0,74.99981358864233,74.99981358864233,74.99981358864233,13,4,1800.0,2000.0,2000,2000,3.0,2,3,14,use TMC-specific observed offpeak P85 for RITIS calibration; rerun with AM Cube network free speed as model-transfer sensitivity,use link-level IAMHRLNCAP and IAMHRLKCAP; do not retain legacy facility constants
I-95 NB,GP,20,70.0,63.0,70.195,68.99982850155094,62.99984341445955,74.99981358864233,15,20,2200.0,2000.0,1900,2000,4.0,2,4,20,use TMC-specific observed offpeak P85 for RITIS calibration; rerun with AM Cube network free speed as model-transfer sensitivity,use link-level IAMHRLNCAP and IAMHRLKCAP; do not retain legacy facility constants
