link_id,date_local,threshold_multiplier,vc_mph,threshold_speed_mph,demand_capacity_ratio,capacity_vph_link,episode_identified,duration_bins,duration_h,congested_passed_volume_veh,capacity_equivalent_hours,episode_start_local,episode_end_local,minimum_speed_mph,minimum_speed_time_local,touches_data_start,touches_data_end
L405S-115,2025-09-16,0.900000,46.743294,42.068965,0.914900,7668.600000,True,39,3.250000,15270.000000,1.991237,2025-09-16T06:45:00-07:00,2025-09-16T10:00:00-07:00,8.200000,2025-09-16T08:10:00-07:00,False,False
L405S-115,2025-09-17,0.900000,46.743294,42.068965,0.860913,7668.600000,True,41,3.416667,15705.000000,2.047962,2025-09-17T06:40:00-07:00,2025-09-17T10:05:00-07:00,13.000000,2025-09-17T08:15:00-07:00,False,False
L405S-115,2025-09-18,0.900000,46.743294,42.068965,0.915161,7668.600000,True,36,3.000000,15439.000000,2.013275,2025-09-18T06:40:00-07:00,2025-09-18T09:40:00-07:00,8.100000,2025-09-18T07:55:00-07:00,False,False
L405S-115,2025-09-19,0.900000,46.743294,42.068965,0.907467,7668.600000,True,24,2.000000,11683.000000,1.523485,2025-09-19T06:50:00-07:00,2025-09-19T08:50:00-07:00,15.600000,2025-09-19T07:50:00-07:00,False,False
L405S-115,2025-09-22,0.900000,46.743294,42.068965,0.947239,7668.600000,True,23,1.916667,11032.000000,1.438594,2025-09-22T06:45:00-07:00,2025-09-22T08:40:00-07:00,12.300000,2025-09-22T07:40:00-07:00,False,False
L405S-115,2025-09-23,0.900000,46.743294,42.068965,0.895731,7668.600000,True,39,3.250000,14979.000000,1.953290,2025-09-23T06:40:00-07:00,2025-09-23T09:55:00-07:00,9.100000,2025-09-23T08:00:00-07:00,False,False
L405S-115,2025-09-24,0.900000,46.743294,42.068965,0.838745,7668.600000,True,39,3.250000,14739.000000,1.921994,2025-09-24T06:40:00-07:00,2025-09-24T09:55:00-07:00,15.600000,2025-09-24T08:30:00-07:00,False,False
L405S-115,2025-09-25,0.900000,46.743294,42.068965,0.757113,7668.600000,True,39,3.250000,14980.000000,1.953420,2025-09-25T06:40:00-07:00,2025-09-25T09:55:00-07:00,10.300000,2025-09-25T08:15:00-07:00,False,False
L405S-132,2025-09-05,0.900000,45.596602,41.036942,0.913527,8068.000000,True,8,0.666667,4609.000000,0.571269,2025-09-05T07:15:00-07:00,2025-09-05T07:55:00-07:00,37.333333,2025-09-05T07:40:00-07:00,False,False
L405S-132,2025-09-08,0.900000,45.596602,41.036942,0.883862,8068.000000,True,29,2.416667,12864.666667,1.594530,2025-09-08T06:55:00-07:00,2025-09-08T09:20:00-07:00,21.433333,2025-09-08T07:45:00-07:00,False,False
L405S-132,2025-09-09,0.900000,45.596602,41.036942,0.934267,8068.000000,True,34,2.833333,16919.333333,2.097091,2025-09-09T06:45:00-07:00,2025-09-09T09:35:00-07:00,22.866667,2025-09-09T08:00:00-07:00,False,False
L405S-132,2025-09-10,0.900000,45.596602,41.036942,0.980954,8068.000000,True,26,2.166667,10655.000000,1.320649,2025-09-10T07:25:00-07:00,2025-09-10T09:35:00-07:00,20.633333,2025-09-10T08:25:00-07:00,False,False
L405S-132,2025-09-11,0.900000,45.596602,41.036942,0.967361,8068.000000,True,27,2.250000,12137.000000,1.504338,2025-09-11T07:20:00-07:00,2025-09-11T09:35:00-07:00,23.366667,2025-09-11T08:05:00-07:00,False,False
L405S-132,2025-09-12,0.900000,45.596602,41.036942,0.905801,8068.000000,True,9,0.750000,5230.000000,0.648240,2025-09-12T06:55:00-07:00,2025-09-12T07:40:00-07:00,38.566667,2025-09-12T07:00:00-07:00,False,False
L405S-132,2025-09-15,0.900000,45.596602,41.036942,1.014295,8068.000000,True,17,1.416667,9737.333333,1.206908,2025-09-15T07:25:00-07:00,2025-09-15T08:50:00-07:00,32.166667,2025-09-15T07:35:00-07:00,False,False
L405S-132,2025-09-16,0.900000,45.596602,41.036942,0.881342,8068.000000,True,36,3.000000,14633.000000,1.813708,2025-09-16T06:55:00-07:00,2025-09-16T09:55:00-07:00,19.266667,2025-09-16T08:50:00-07:00,False,False
L405S-132,2025-09-17,0.900000,45.596602,41.036942,0.875764,8068.000000,True,39,3.250000,16875.666667,2.091679,2025-09-17T06:45:00-07:00,2025-09-17T10:00:00-07:00,21.066667,2025-09-17T08:55:00-07:00,False,False
L405S-132,2025-09-18,0.900000,45.596602,41.036942,0.977814,8068.000000,True,27,2.250000,12320.666667,1.527103,2025-09-18T07:15:00-07:00,2025-09-18T09:30:00-07:00,22.266667,2025-09-18T07:55:00-07:00,False,False
L405S-132,2025-09-19,0.900000,45.596602,41.036942,0.976987,8068.000000,True,6,0.500000,3240.000000,0.401587,2025-09-19T07:40:00-07:00,2025-09-19T08:10:00-07:00,32.333333,2025-09-19T07:45:00-07:00,False,False
L405S-132,2025-09-22,0.900000,45.596602,41.036942,1.000165,8068.000000,True,23,1.916667,12737.666667,1.578789,2025-09-22T07:00:00-07:00,2025-09-22T08:55:00-07:00,27.333333,2025-09-22T07:50:00-07:00,False,False
L405S-132,2025-09-23,0.900000,45.596602,41.036942,0.879855,8068.000000,True,36,3.000000,14904.333333,1.847339,2025-09-23T06:45:00-07:00,2025-09-23T09:45:00-07:00,17.866667,2025-09-23T07:55:00-07:00,False,False
L405S-132,2025-09-24,0.900000,45.596602,41.036942,0.854363,8068.000000,True,34,2.833333,13926.333333,1.726120,2025-09-24T06:50:00-07:00,2025-09-24T09:40:00-07:00,20.300000,2025-09-24T08:25:00-07:00,False,False
L405S-132,2025-09-25,0.900000,45.596602,41.036942,0.754793,8068.000000,True,33,2.750000,14736.333333,1.826516,2025-09-25T07:00:00-07:00,2025-09-25T09:45:00-07:00,21.100000,2025-09-25T08:10:00-07:00,False,False
