segment_id,valid_raw_cells,valid_storage_cells,raw_correlation,raw_bias_vph,raw_mae_vph,raw_rmse_vph,storage_correlation,storage_bias_vph,storage_mae_vph,storage_rmse_vph
I5N-S68,720,705,0.4659058250580722,-233.5,732.6666666666666,887.1387715571899,0.46360945313088997,-218.85041483831566,727.7234937750846,885.4546512124277
I5N-S69,720,705,0.9490212297852069,-264.1333333333333,487.06666666666666,567.1895626684257,0.9501413321128814,-272.8007186817459,489.2695466644981,569.72921785296
I5N-S70,720,705,0.8128111275073058,-1912.1666666666667,1917.0333333333333,1982.0006054489488,0.8197552344079747,-1916.149739616606,1918.3606002478498,1982.5345212415634
