mean_dc,mu_ln_dc,sigma_ln_dc,expected_tti,shrp2_tti95,tti_50,gamma_50,delay_dominant_gamma_50,tti_80,gamma_80,delay_dominant_gamma_80,tti_90,gamma_90,delay_dominant_gamma_90,tti_95,gamma_95,delay_dominant_gamma_95,empirical_support,sigma_model,alpha,beta
0.4,-0.9169961278064942,0.037560509377250154,1.0548409224124295,1.1959411939946853,1.0547195391100157,0.9998849273858884,0.9977866290887494,1.057872834905669,1.0028742841018201,1.0552855852868064,1.05959278674017,1.0045048160597267,1.086648147381698,1.0610516229458766,1.0058878077267264,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.41,-0.8923035152161228,0.037560509377250154,1.0572942800874348,1.2044669992612735,1.057167466594508,0.9998800584706501,0.9977866290887494,1.0604618278956548,1.0029958998813064,1.0552855852868064,1.062258723312579,1.0046954223801663,1.086648147381698,1.063782821859698,1.0061369307433752,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.42,-0.8682059636370623,0.037560509377250154,1.0597942949667212,1.213134618537911,1.0596619480135832,0.9998751201494794,0.9977866290887494,1.0631000575607683,1.0031192492823817,1.0552855852868064,1.0649753598495824,1.0048887457759186,1.086648147381698,1.066565961877319,1.006389604985381,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.43,-0.8446754662268682,0.037560509377250154,1.062340711775976,1.2219421205540715,1.0622027286579443,0.9998701140636876,0.9977866290887494,1.0657872545137068,1.003244291308359,1.0552855852868064,1.0677424189578206,1.0050847219935817,1.086648147381698,1.0694007588147685,1.0066457464733605,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.44,-0.8216859480021694,0.037560509377250154,1.0649332825970896,1.2308875969237414,1.0647895611582172,0.9998650418376239,0.9977866290887494,1.0685231571300633,1.0033709853862571,1.0552855852868064,1.0705596312375398,1.0052832874438191,1.086648147381698,1.0722869366773649,1.0069052720958647,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.45,-0.7992130921501108,0.037560509377250154,1.0675717664922761,1.239969161200106,1.0674222051099005,0.9998599050789184,0.9977866290887494,1.0713075111516652,1.003499291360677,1.0552855852868064,1.0734267348741406,1.0054843791917636,1.086648147381698,1.0752242272412667,1.0071680995968395,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.46,-0.7772341854313355,0.037560509377250154,1.070255929155399,1.2491849480196875,1.0701004267254637,0.9998547053786864,0.9977866290887494,1.0741400693186238,1.0036291694887316,1.0552855852868064,1.0763434752592942,1.0056879349490726,1.086648147381698,1.0782123696653123,1.007434147565239,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.47,-0.755727980210372,0.037560509377250154,1.0729855425879822,1.2585331123268837,1.0728239985110761,0.9998494443116946,0.9977866290887494,1.0770205910274337,1.0037605804358922,1.0552855852868064,1.0793096046388788,1.0058938930674157,1.086648147381698,1.0812511101303393,1.0077033354265157,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.48,-0.7346745710125396,0.037560509377250154,1.075760384797665,1.268011828670872,1.0755926989657285,0.9998441234364956,0.9977866290887494,1.0799488420127574,1.0038934852726338,1.0552855852868064,1.082324881785307,1.0061021925332163,1.086648147381698,1.0843402015034898,1.007975583435747,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.49,-0.714055283809804,0.037560509377250154,1.0785802395171076,1.2776192905677313,1.0784063123007612,0.9998387442955341,0.9977866290887494,1.0829245940507883,1.004027845471771,1.0552855852868064,1.085389071692075,1.0063127729634802,1.086648147381698,1.0874794030252817,1.0082508126721832,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.5,-0.6938525764922845,0.037560509377250154,1.0814448959415677,1.2873537099214116,1.0812646281780207,0.999833308415229,0.9977866290887494,1.0859476246823203,1.0041636229064008,1.0552855852868064,1.0885019452885998,1.0065255746025672,1.086648147381698,1.0906684800174655,1.0085289450350285,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.51,-0.6740499491961048,0.037560509377250154,1.084354148483555,1.2972133164978614,1.0841674414650582,0.9998278173060361,0.9977866290887494,1.0890177169538384,1.0043007798483599,1.0552855852868064,1.0916632791736156,1.0067405383197752,1.086648147381698,1.0939072036098954,1.0088099032402837,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.52,-0.6546318633390031,0.037560509377250154,1.0873077965431384,1.3071963574472183,1.0871145520059444,0.999822272462491,0.9977866290887494,1.092134659175127,1.0044392789671284,1.0552855852868064,1.0948728553655793,1.0069576056076233,1.086648147381698,1.0971953504848215,1.0090936108184991,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.53,-0.6355836683683087,0.037560509377250154,1.090305644292622,1.3173010968694956,1.090105764406423,0.9998166753632384,0.9977866290887494,1.0952982446920418,1.0045790833291146,1.0552855852868064,1.0981304610686884,1.007176718580727,1.086648147381698,1.1005327026371832,1.009379992113309,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.54,-0.6168915353561562,0.037560509377250154,1.0933475004744364,1.3275258154196523,1.0931408878322484,0.999811027471048,0.9977866290887494,1.0985082716732262,1.0047201563972574,1.0552855852868064,1.1014358884532587,1.0073978199751794,1.086648147381698,1.1039190471496094,1.0096689722806205,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.55,-0.5985423966879596,0.037560509377250154,1.0964331782111993,1.3378688099483411,1.0962197358196673,0.9998053302328188,0.9977866290887494,1.1017645429096725,1.004862462030902,1.0552855852868064,1.104788934449329,1.007620853148353,1.086648147381698,1.1073541759809697,1.009960477288354,1.113249381305801,False,constant,0.27795665535834296,1.7723568133959584
0.56,-0.5805238911852812,0.037560509377250154,1.0995624948270073,1.3483283931750072,1.0993421260971057,0.9997995850795763,0.9977866290887494,1.105066865626133,1.0050059644858946,1.0552855852868064,1.1081894005524673,1.0078457620790506,1.086648147381698,1.110837885767428,1.010254433916641,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
