station_id,link_id,station_name,milepost,direction,lanes,complete_days,mean_dc,min_dc,max_dc,mu_ln_dc,sigma_ln_dc,free_flow_speed_p95_mph,capacity_per_lane_vph,C_vph_link
1222412,L405S-041,FAIRVIEW,10.05,S,5,99,0.556242985409652,0.5011752136752137,0.6490384615384616,-0.5876537343555117,0.04716531058099635,70.0,1872.0,9360.0
1201525,L405S-004,HARBOR 1,10.97,S,6,99,0.9188852556908113,0.8380519943019943,0.9707977207977208,-0.0851957870460011,0.03495706854381083,66.4,1872.0,11232.0
1201558,L405S-117,HARBOR 2,11.27,S,5,99,0.9331067081067081,0.8457264957264957,0.9983974358974359,-0.07000446326011783,0.03951506265133121,67.1,1872.0,9360.0
1201589,L405S-005,EUCLID,12.27,S,6,98,0.8746711291354149,0.8039529914529915,0.9202279202279202,-0.13447499959887801,0.03395657211313632,66.4,1872.0,11232.0
1201620,L405S-108,TALBERT,13.07,S,5,98,1.0049952032094889,0.9091880341880342,1.0560897435897436,0.004498145667624658,0.03139521710075659,67.68499999999995,1872.0,9360.0
1201653,L405S-108,BROOKHURST2,13.58,S,4,98,0.9938173185941044,0.8932959401709402,1.0591613247863247,-0.006730896338921278,0.032768565507450775,65.3,1872.0,7488.0
1222728,L405S-108,Bushard,14.286,S,5,98,0.7260978109192394,0.6585470085470085,0.8269230769230769,-0.3212744024213662,0.04930192730774323,70.3,1872.0,9360.0
1201719,L405S-108,MAGNOLIA 1,14.93,S,4,99,0.8926160644910646,0.749465811965812,0.9696848290598291,-0.11431143169801507,0.03818362455237025,65.2,1872.0,7488.0
1222749,L405S-132,Heil,15.389,S,5,99,0.8787501079167745,0.7507478632478632,0.9460470085470085,-0.1297731304466004,0.03256655435421371,67.14499999999998,1872.0,9360.0
1222909,L405S-024,Springdale & GGrove,19.957,S,5,99,0.8734470776137443,0.7742521367521368,0.9125,-0.13572333653573548,0.02915500008260552,67.2,1872.0,9360.0
1223081,L405S-110,Almond,20.664,S,6,99,0.6819521784799564,0.5951745014245015,0.7183938746438746,-0.38327792339282296,0.0313902428185174,68.2,1872.0,11232.0
1223027,L405S-001,N405 - S605 Conn,23.39,S,5,99,0.781993006993007,0.661965811965812,0.846474358974359,-0.24714384798389155,0.05037096691406957,68.1,1872.0,9360.0
